time	V(n001)	I(R1)	I(V1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.000000000000000e-001	0.000000e+000	0.000000e+000	0.000000e+000
1.007666666666667e-001	1.152086e+000	-1.136157e-003	-1.136157e-003
1.023000000000000e-001	3.360686e+000	-3.247864e-003	-3.247864e-003
1.045683706143558e-001	6.068570e+000	-5.934071e-003	-5.934071e-003
1.057502720247477e-001	7.070317e+000	-7.009752e-003	-7.009752e-003
1.065786296651355e-001	7.566382e+000	-7.532740e-003	-7.532740e-003
1.071867966327379e-001	7.813900e+000	-7.791026e-003	-7.791026e-003
1.077296837229285e-001	7.948267e+000	-7.927461e-003	-7.927461e-003
1.082730023084533e-001	7.999483e+000	-7.978734e-003	-7.978734e-003
1.088109085923097e-001	7.967607e+000	-7.937254e-003	-7.937254e-003
1.096105728604458e-001	7.769268e+000	-7.698628e-003	-7.698628e-003
1.109053559509294e-001	7.078090e+000	-6.916672e-003	-6.916672e-003
1.129588377725165e-001	5.147065e+000	-4.887526e-003	-4.887526e-003
1.160106524149875e-001	9.867271e-001	-9.109761e-004	-9.109761e-004
1.192728037040067e-001	-3.773794e+000	3.604071e-003	3.604071e-003
1.211662679043125e-001	-6.000491e+000	5.884555e-003	5.884555e-003
1.223704024026569e-001	-7.037211e+000	6.974877e-003	6.974877e-003
1.232117347951884e-001	-7.549795e+000	7.515229e-003	7.515229e-003
1.238284665040889e-001	-7.805730e+000	7.782823e-003	7.782823e-003
1.243652818348946e-001	-7.942812e+000	7.923166e-003	7.923166e-003
1.248844752585798e-001	-7.998103e+000	7.977000e-003	7.977000e-003
1.254570558578892e-001	-7.970329e+000	7.938517e-003	7.938517e-003
1.262438774010158e-001	-7.781109e+000	7.712563e-003	7.712563e-003
1.275182874454134e-001	-7.115490e+000	6.957910e-003	6.957910e-003
1.295418180686784e-001	-5.243029e+000	4.984559e-003	4.984559e-003
1.325594864559632e-001	-1.162800e+000	1.075054e-003	1.075054e-003
1.358657743679451e-001	3.675444e+000	-3.506860e-003	-3.506860e-003
1.377889298684447e-001	5.956398e+000	-5.838333e-003	-5.838333e-003
1.390073929782501e-001	7.015817e+000	-6.952340e-003	-6.952340e-003
1.398570363520126e-001	7.539079e+000	-7.503917e-003	-7.503917e-003
1.404792343346138e-001	7.800443e+000	-7.777520e-003	-7.777520e-003
1.410121824640067e-001	7.939199e+000	-7.920282e-003	-7.920282e-003
1.415160236360998e-001	7.996775e+000	-7.975509e-003	-7.975509e-003
1.421106627245082e-001	7.972000e+000	-7.939292e-003	-7.939292e-003
1.428893081264072e-001	7.788487e+000	-7.721262e-003	-7.721262e-003
1.441507341460619e-001	7.138927e+000	-6.983801e-003	-6.983801e-003
1.461551094036644e-001	5.303555e+000	-5.045934e-003	-5.045934e-003
1.491506714960471e-001	1.275293e+000	-1.179875e-003	-1.179875e-003
1.524846616802545e-001	-3.611300e+000	3.443632e-003	3.443632e-003
1.544271664621688e-001	-5.927693e+000	5.808253e-003	5.808253e-003
1.556549293267196e-001	-7.001910e+000	6.937691e-003	6.937691e-003
1.565099456870169e-001	-7.532113e+000	7.496565e-003	7.496565e-003
1.571356693182925e-001	-7.797004e+000	7.774071e-003	7.774071e-003
1.576661264851218e-001	-7.936815e+000	7.917910e-003	7.917910e-003
1.581721683250471e-001	-7.996309e+000	7.974714e-003	7.974714e-003
1.587734157114348e-001	-7.972491e+000	7.939520e-003	7.939520e-003
1.595496106070383e-001	-7.790673e+000	7.723842e-003	7.723842e-003
1.608071430668907e-001	-7.145895e+000	6.991506e-003	6.991506e-003
1.628057640999246e-001	-5.321608e+000	5.064267e-003	5.064267e-003
1.657946452056107e-001	-1.309064e+000	1.211342e-003	1.211342e-003
1.691368722697675e-001	3.591835e+000	-3.424472e-003	-3.424472e-003
1.710852465146912e-001	5.918990e+000	-5.799135e-003	-5.799135e-003
1.723158247174954e-001	6.997696e+000	-6.933252e-003	-6.933252e-003
1.731724643971726e-001	7.530003e+000	-7.494338e-003	-7.494338e-003
1.737992519440362e-001	7.795962e+000	-7.773026e-003	-7.773026e-003
1.743289579384749e-001	7.936088e+000	-7.917100e-003	-7.917100e-003
1.748379791851251e-001	7.996270e+000	-7.974529e-003	-7.974529e-003
1.754397640412262e-001	7.972530e+000	-7.939539e-003	-7.939539e-003
1.762157596071683e-001	7.790851e+000	-7.724052e-003	-7.724052e-003
1.774729753146178e-001	7.146461e+000	-6.992131e-003	-6.992131e-003
1.794711280220899e-001	5.323075e+000	-5.065757e-003	-5.065757e-003
1.824594645601018e-001	1.311812e+000	-1.213903e-003	-1.213903e-003
1.858023602388221e-001	-3.590247e+000	3.422909e-003	3.422909e-003
1.877512133670782e-001	-5.918280e+000	5.798392e-003	5.798392e-003
1.889820211561977e-001	-6.997352e+000	6.932890e-003	6.932890e-003
1.898387931483753e-001	-7.529831e+000	7.494157e-003	7.494157e-003
1.904656673861354e-001	-7.795877e+000	7.772941e-003	7.772941e-003
1.909953121833563e-001	-7.936028e+000	7.917034e-003	7.917034e-003
1.915045761404499e-001	-7.996266e+000	7.974514e-003	7.974514e-003
1.921064047770451e-001	-7.972534e+000	7.939541e-003	7.939541e-003
1.928823841060965e-001	-7.790865e+000	7.724069e-003	7.724069e-003
1.941395740114205e-001	-7.146507e+000	6.992182e-003	6.992182e-003
1.961376885685277e-001	-5.323194e+000	5.065878e-003	5.065878e-003
1.991259807400066e-001	-1.312036e+000	1.214112e-003	1.214112e-003
2.024689308730672e-001	3.590117e+000	-3.422781e-003	-3.422781e-003
2.044178230195855e-001	5.918222e+000	-5.798331e-003	-5.798331e-003
2.056486495140907e-001	6.997324e+000	-6.932861e-003	-6.932861e-003
2.065054322858954e-001	7.529817e+000	-7.494142e-003	-7.494142e-003
2.071323135862734e-001	7.795870e+000	-7.772934e-003	-7.772934e-003
2.076619533978895e-001	7.936024e+000	-7.917028e-003	-7.917028e-003
2.081712371279528e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
2.087730693312064e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
2.095490473374886e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
2.108062351407915e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
2.128043465898950e-001	5.323204e+000	-5.065888e-003	-5.065888e-003
2.157926351469206e-001	1.312054e+000	-1.214129e-003	-1.214129e-003
2.191355897161458e-001	-3.590107e+000	3.422771e-003	3.422771e-003
2.210844850414250e-001	-5.918218e+000	5.798326e-003	5.798326e-003
2.223153130598258e-001	-6.997322e+000	6.932858e-003	6.932858e-003
2.231720967098252e-001	-7.529816e+000	7.494140e-003	7.494140e-003
2.237989785855794e-001	-7.795869e+000	7.772933e-003	7.772933e-003
2.243286179910296e-001	-7.936023e+000	7.917027e-003	7.917027e-003
2.248379033319513e-001	-7.996266e+000	7.974512e-003	7.974512e-003
2.254397358257722e-001	-7.972534e+000	7.939540e-003	7.939540e-003
2.262157137242915e-001	-7.790866e+000	7.724070e-003	7.724070e-003
2.274729013563477e-001	-7.146511e+000	6.992186e-003	6.992186e-003
2.294710125522493e-001	-5.323205e+000	5.065889e-003	5.065889e-003
2.324593008148136e-001	-1.312056e+000	1.214130e-003	1.214130e-003
2.358022557454423e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
2.377511513296881e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
2.389819794722372e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
2.398387631937811e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
2.404656451164100e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
2.409952844887708e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
2.415045699609254e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
2.421064024784182e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
2.428823803681582e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
2.441395679862633e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
2.461376791615372e-001	5.323205e+000	-5.065889e-003	-5.065889e-003
2.491259674001123e-001	1.312056e+000	-1.214130e-003	-1.214130e-003
2.524689223601838e-001	-3.590106e+000	3.422770e-003	3.422770e-003
2.544178179655270e-001	-5.918217e+000	5.798326e-003	5.798326e-003
2.556486461181902e-001	-6.997322e+000	6.932858e-003	6.932858e-003
2.565054298455627e-001	-7.529816e+000	7.494140e-003	7.494140e-003
2.571323117720104e-001	-7.795869e+000	7.772933e-003	7.772933e-003
2.576619511416754e-001	-7.936023e+000	7.917027e-003	7.917027e-003
2.581712366245214e-001	-7.996266e+000	7.974512e-003	7.974512e-003
2.587730691439426e-001	-7.972534e+000	7.939540e-003	7.939540e-003
2.595490470329674e-001	-7.790866e+000	7.724070e-003	7.724070e-003
2.608062346499360e-001	-7.146511e+000	6.992186e-003	6.992186e-003
2.628043458235293e-001	-5.323205e+000	5.065889e-003	5.065889e-003
2.657926340601500e-001	-1.312056e+000	1.214130e-003	1.214130e-003
2.691355890226201e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
2.710844846296823e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
2.723153127831695e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
2.731720965110168e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
2.737989784377755e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
2.743286178072208e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
2.748379032909378e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
2.754397358105162e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
2.762157136994827e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
2.774729013163586e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
2.794710124898150e-001	5.323205e+000	-5.065889e-003	-5.065889e-003
2.824593007262765e-001	1.312056e+000	-1.214130e-003	-1.214130e-003
2.858022556889421e-001	-3.590106e+000	3.422770e-003	3.422770e-003
2.877511512961443e-001	-5.918217e+000	5.798326e-003	5.798326e-003
2.889819794496986e-001	-6.997322e+000	6.932858e-003	6.932858e-003
2.898387631775846e-001	-7.529816e+000	7.494140e-003	7.494140e-003
2.904656451043687e-001	-7.795869e+000	7.772933e-003	7.772933e-003
2.909952844737962e-001	-7.936023e+000	7.917027e-003	7.917027e-003
2.915045699575841e-001	-7.996266e+000	7.974512e-003	7.974512e-003
2.921064024771753e-001	-7.972534e+000	7.939540e-003	7.939540e-003
2.928823803661371e-001	-7.790866e+000	7.724070e-003	7.724070e-003
2.941395679830055e-001	-7.146511e+000	6.992186e-003	6.992186e-003
2.961376791564508e-001	-5.323205e+000	5.065889e-003	5.065889e-003
2.991259673928994e-001	-1.312056e+000	1.214130e-003	1.214130e-003
3.024689223555808e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
3.044178179627943e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
3.056486461163541e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
3.065054298442433e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
3.071323117710295e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
3.076619511404555e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
3.081712366242492e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
3.087730691438413e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
3.095490470328028e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
3.108062346496706e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
3.128043458231150e-001	5.323205e+000	-5.065889e-003	-5.065889e-003
3.157926340595625e-001	1.312056e+000	-1.214130e-003	-1.214130e-003
3.191355890222452e-001	-3.590106e+000	3.422770e-003	3.422770e-003
3.210844846294596e-001	-5.918217e+000	5.798326e-003	5.798326e-003
3.223153127830198e-001	-6.997322e+000	6.932858e-003	6.932858e-003
3.231720965109093e-001	-7.529816e+000	7.494140e-003	7.494140e-003
3.237989784376956e-001	-7.795869e+000	7.772933e-003	7.772933e-003
3.243286178071215e-001	-7.936023e+000	7.917027e-003	7.917027e-003
3.248379032909157e-001	-7.996266e+000	7.974512e-003	7.974512e-003
3.254397358105080e-001	-7.972534e+000	7.939540e-003	7.939540e-003
3.262157136994693e-001	-7.790866e+000	7.724070e-003	7.724070e-003
3.274729013163371e-001	-7.146511e+000	6.992186e-003	6.992186e-003
3.294710124897813e-001	-5.323205e+000	5.065889e-003	5.065889e-003
3.324593007262288e-001	-1.312056e+000	1.214130e-003	1.214130e-003
3.358022556889116e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
3.377511512961262e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
3.389819794496864e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
3.398387631775759e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
3.404656451043622e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
3.409952844737881e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
3.415045699575823e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
3.421064024771746e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
3.428823803661360e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
3.441395679830037e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
3.461376791564480e-001	5.323205e+000	-5.065889e-003	-5.065889e-003
3.491259673928954e-001	1.312056e+000	-1.214130e-003	-1.214130e-003
3.524689223555783e-001	-3.590106e+000	3.422770e-003	3.422770e-003
3.544178179627928e-001	-5.918217e+000	5.798326e-003	5.798326e-003
3.556486461163531e-001	-6.997322e+000	6.932858e-003	6.932858e-003
3.565054298442426e-001	-7.529816e+000	7.494140e-003	7.494140e-003
3.571323117710289e-001	-7.795869e+000	7.772933e-003	7.772933e-003
3.576619511404548e-001	-7.936023e+000	7.917027e-003	7.917027e-003
3.581712366242491e-001	-7.996266e+000	7.974512e-003	7.974512e-003
3.587730691438413e-001	-7.972534e+000	7.939540e-003	7.939540e-003
3.595490470328028e-001	-7.790866e+000	7.724070e-003	7.724070e-003
3.608062346496705e-001	-7.146511e+000	6.992186e-003	6.992186e-003
3.628043458231149e-001	-5.323205e+000	5.065889e-003	5.065889e-003
3.657926340595625e-001	-1.312056e+000	1.214130e-003	1.214130e-003
3.691355890222452e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
3.710844846294596e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
3.723153127830199e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
3.731720965109093e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
3.737989784376957e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
3.743286178071216e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
3.748379032909157e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
3.754397358105079e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
3.762157136994693e-001	7.790866e+000	-7.724070e-003	-7.724070e-003
3.774729013163370e-001	7.146511e+000	-6.992186e-003	-6.992186e-003
3.794710124897812e-001	5.323205e+000	-5.065889e-003	-5.065889e-003
3.824593007262286e-001	1.312056e+000	-1.214130e-003	-1.214130e-003
3.858022556889115e-001	-3.590106e+000	3.422770e-003	3.422770e-003
3.877511512961261e-001	-5.918217e+000	5.798326e-003	5.798326e-003
3.889819794496863e-001	-6.997322e+000	6.932858e-003	6.932858e-003
3.898387631775758e-001	-7.529816e+000	7.494140e-003	7.494140e-003
3.904656451043622e-001	-7.795869e+000	7.772933e-003	7.772933e-003
3.909952844737881e-001	-7.936023e+000	7.917027e-003	7.917027e-003
3.915045699575823e-001	-7.996266e+000	7.974512e-003	7.974512e-003
3.921064024771746e-001	-7.972534e+000	7.939540e-003	7.939540e-003
3.928823803661360e-001	-7.790866e+000	7.724070e-003	7.724070e-003
3.941395679830037e-001	-7.146511e+000	6.992186e-003	6.992186e-003
3.961376791564480e-001	-5.323205e+000	5.065889e-003	5.065889e-003
3.991259673928954e-001	-1.312056e+000	1.214130e-003	1.214130e-003
4.024689223555782e-001	3.590106e+000	-3.422770e-003	-3.422770e-003
4.044178179627928e-001	5.918217e+000	-5.798326e-003	-5.798326e-003
4.056486461163530e-001	6.997322e+000	-6.932858e-003	-6.932858e-003
4.065054298442425e-001	7.529816e+000	-7.494140e-003	-7.494140e-003
4.071323117710288e-001	7.795869e+000	-7.772933e-003	-7.772933e-003
4.076619511404547e-001	7.936023e+000	-7.917027e-003	-7.917027e-003
4.081712366242490e-001	7.996266e+000	-7.974512e-003	-7.974512e-003
4.087730691438413e-001	7.972534e+000	-7.939540e-003	-7.939540e-003
